âgé
âgée
attifé
bon
bonne
beau
bel
belle
confiant
confiante
courageux
courageuse
droit
égoïste
énergique
énorme
gai
faible
fin
fine
fort
forte
fou
fol
folle
gentil
gentille
gigantesque
grand
grande
gros
grosse
idéaliste
intelligente
intelligent
inventif
inventive
jeune
merveilleux
merveilleuse
mince
nerveux
nerveuse
nouveau
nouvel
nouvelle
optimiste
passionné
passionnée
petit
petite
prétentieux
prétentieuse
sale
sérieux
sérieuse
sincère
sportif
sportive
stupide
terne
vif
vive
vieux
vieil
vieille
creux
creuse
étroit
long
longue
large
plat
super
aigu
doux
douce
mat
sec
sèche
roux
rousse
blanche
dur
fier
joli
