com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude
21420;COM;27;21;211;0;MOLINOT;Molinot;Molinot;2101;;Molinot;47.016667;4.583333
21421;COM;27;21;212;0;MOLOY;Moloy;Moloy;2116;;Moloy;47.533333;4.916667
21422;COM;27;21;213;0;MOLPHEY;Molphey;Molphey;2122;;Molphey;47.35;4.216667
21423;COM;27;21;211;0;MONTAGNY LES BEAUNE;Montagny-lès-Beaune;Montagny-lès-Beaune;2117;;Montagny-lÃ¨s-Beaune;46.983333;4.85
21424;COM;27;21;211;0;MONTAGNY LES SEURRE;Montagny-lès-Seurre;Montagny-lès-Seurre;2104;;Montagny-lÃ¨s-Seurre;47.016667;5.25
21425;COM;27;21;213;0;MONTBARD;Montbard;Montbard;2119;;Montbard;47.616667;4.333333
21426;COM;27;21;213;0;MONTBERTHAULT;Montberthault;Montberthault;2122;;Montberthault;47.466667;4.166667
21427;COM;27;21;211;0;MONTCEAU ET ECHARNANT;Montceau-et-Écharnant;Montceau-et-Écharnant;2101;;Montceau-et-Echarnant;47.066667;4.666667
21428;COM;27;21;211;0;MONTHELIE;Monthelie;Monthelie;2117;;Monthelie;47;4.766667
21429;COM;27;21;213;0;MONTIGNY MONTFORT;Montigny-Montfort;Montigny-Montfort;2119;;Montigny-Montfort;47.583333;4.333333
21430;COM;27;21;213;0;MONTIGNY SAINT BARTHELEMY;Montigny-Saint-Barthélemy;Montigny-Saint-Barthélemy;2122;;Montigny-Saint-BarthÃ©lemy;47.416667;4.266667
21431;COM;27;21;213;0;MONTIGNY SUR ARMANCON;Montigny-sur-Armançon;Montigny-sur-Armançon;2122;;Montigny-sur-ArmanÃ§on;47.433333;4.366667
21432;COM;27;21;213;0;MONTIGNY SUR AUBE;Montigny-sur-Aube;Montigny-sur-Aube;2105;;Montigny-sur-Aube;47.95;4.766667
21433;COM;27;21;212;0;MONTIGNY MORNAY VILLENEUVE SUR VINGEANNE;Montigny-Mornay-Villeneuve-sur-Vingeanne;Montigny-Mornay-Villeneuve-sur-Vingeanne;2121;;Montigny-Mornay-Villeneuve-sur-Vingeanne;;
21434;COM;27;21;213;0;MONTLAY EN AUXOIS;Montlay-en-Auxois;Montlay-en-Auxois;2122;;Montlay-en-Auxois;47.35;4.283333
21435;COM;27;21;213;0;MONTLIOT ET COURCELLES;Montliot-et-Courcelles;Montliot-et-Courcelles;2105;;Montliot-et-Courcelles;47.883333;4.566667
21436;COM;27;21;211;0;MONTMAIN;Montmain;Montmain;2104;;Montmain;;
21437;COM;27;21;212;0;MONTMANCON;Montmançon;Montmançon;2102;;MontmanÃ§on;47.35;5.383333
21438;COM;27;21;213;0;MONTMOYEN;Montmoyen;Montmoyen;2105;;Montmoyen;47.733333;4.8
21439;COM;27;21;212;0;MONTOILLOT;Montoillot;Montoillot;2123;;Montoillot;47.266667;4.65
21440;COM;27;21;211;0;MONTOT;Montot;Montot;2104;;Montot;;
21441;COM;27;21;211;0;MONT SAINT JEAN;Mont-Saint-Jean;Mont-Saint-Jean;2101;;Mont-Saint-Jean;47.283333;4.4
