freundlich
schön
blöd
gut
gut
billig
verstopft
ruhig
kaputt
ruhig
warm
teuer
hell
tapfer
kurz
lecker
unangenehm
scwher
lustig
hart
betrübt
langweilig
riesig
scharf
merkwürdig
leicht
scwach
müde
falsch
geschlossen
stark
kalt
nett
gross
dick
hoch
glücklich
dumm
besorgt
feige
leicht
langsam
weit
schwer
krank
schlecht
nass
neu
besetzt
geöffnet
arm
klein
voll
praktisch
nah
sauber
schnell
reich
schmutzig
trocken
dunkel
dumm
super
traurig
abgenutzt
leer
alt
wahr
