com;typecom;reg;dep;arr;tncc;ncc;nccenr;libelle;can;comparent;nom_commune;latitude;longitude,type
1001;COM;84;1;12;5;ABERGEMENT CLEMENCIAT;Abergement-Clémenciat;'L''Abergement-Clémenciat';108;;'L''Abergement-ClÃ©menciat';46.15;4.916667;0
1002;COM;84;1;11;5;ABERGEMENT DE VAREY;Abergement-de-Varey;'L''Abergement-de-Varey';101;;'L''Abergement-de-Varey';46;5.416667;0
1004;COM;84;1;11;1;AMBERIEU EN BUGEY;Ambérieu-en-Bugey;Ambérieu-en-Bugey;101;;AmbÃ©rieu-en-Bugey;45.95;5.35;0
1005;COM;84;1;12;1;AMBERIEUX EN DOMBES;Ambérieux-en-Dombes;Ambérieux-en-Dombes;122;;AmbÃ©rieux-en-Dombes;46;4.9;0
1006;COM;84;1;11;1;AMBLEON;Ambléon;Ambléon;104;;AmblÃ©on;45.75;5.6;0
1007;COM;84;1;11;1;AMBRONAY;Ambronay;Ambronay;101;;Ambronay;46;5.35;0
1008;COM;84;1;11;1;AMBUTRIX;Ambutrix;Ambutrix;101;;Ambutrix;45.933333;5.333333;0
1009;COM;84;1;11;1;ANDERT ET CONDON;Andert-et-Condon;Andert-et-Condon;104;;Andert-et-Condon;45.8;5.65;0
1010;COM;84;1;11;1;ANGLEFORT;Anglefort;Anglefort;110;;Anglefort;45.916667;5.808333;-1
1011;COM;84;1;14;1;APREMONT;Apremont;Apremont;114;;Apremont;46.208333;5.658333;1
1012;COM;84;1;11;1;ARANC;Aranc;Aranc;110;;Aranc;46;5.5;0
1013;COM;84;1;11;1;ARANDAS;Arandas;Arandas;101;;Arandas;45.9;5.483333;0
1014;COM;84;1;14;1;ARBENT;Arbent;Arbent;115;;Arbent;46.3;5.683333;0
1015;COM;84;1;11;1;ARBOYS EN BUGEY;Arboys en Bugey;Arboys en Bugey;104;;Arbignieu;45.733333;5.65;0
1016;COM;84;1;12;1;ARBIGNY;Arbigny;Arbigny;117;;Arbigny;46.466667;4.966667;-1
1017;COM;84;1;11;1;ARGIS;Argis;Argis;101;;Argis;45.933333;5.483333;0
1019;COM;84;1;11;1;ARMIX;Armix;Armix;110;;Armix;45.85;5.583333;1
1021;COM;84;1;12;1;ARS SUR FORMANS;Ars-sur-Formans;Ars-sur-Formans;122;;Ars-sur-Formans;45.983333;4.816667;-1
1022;COM;84;1;11;1;ARTEMARE;Artemare;Artemare;110;;Artemare;45.866667;5.7;0
1023;COM;84;1;12;1;ASNIERES SUR SAONE;Asnières-sur-Saône;Asnières-sur-Saône;117;;AsniÃ¨res-sur-SaÃ´ne;46.383333;4.883333;-1
1024;COM;84;1;12;1;ATTIGNAT;Attignat;Attignat;102;;Attignat;46.283333;5.166667;0
1025;COM;84;1;12;0;BAGE DOMMARTIN;Bâgé-Dommartin;Bâgé-Dommartin;117;;BÃ¢gÃ©-la-Ville;46.316667;4.95;-1
1026;COM;84;1;12;0;BAGE LE CHATEL;Bâgé-le-Châtel;Bâgé-le-Châtel;117;;BÃ¢gÃ©-le-ChÃ¢tel;46.3;4.933333;-1
1027;COM;84;1;12;0;BALAN;Balan;Balan;112;;Balan;45.833333;5.1;0
1028;COM;84;1;12;0;BANEINS;Baneins;Baneins;122;;Baneins;46.116667;4.9;0
1029;COM;84;1;12;0;BEAUPONT;Beaupont;Beaupont;118;;Beaupont;46.4;5.266667;1
1030;COM;84;1;12;0;BEAUREGARD;Beauregard;Beauregard;121;;Beauregard;;;1
1031;COM;84;1;14;0;BELLIGNAT;Bellignat;Bellignat;114;;Bellignat;46.25;5.616667;1
1032;COM;84;1;12;0;BELIGNEUX;Béligneux;Béligneux;112;;BÃ©ligneux;45.866667;5.116667;1
1033;COM;84;1;14;0;VALSERHONE;Valserhône;Valserhône;103;;Bellegarde-sur-Valserine;46.1;5.816667;-1
1034;COM;84;1;11;0;BELLEY;Belley;Belley;104;;Belley;45.766667;5.683333;1
1035;COM;84;1;14;0;BELLEYDOUX;Belleydoux;Belleydoux;114;;Belleydoux;46.25;5.766667;1
1036;COM;84;1;11;0;VALROMEY SUR SERAN;Valromey-sur-Séran;Valromey-sur-Séran;110;;Belmont-LuthÃ©zieu;;;-1
1037;COM;84;1;11;0;BENONCES;Bénonces;Bénonces;111;;BÃ©nonces;45.833333;5.483333;-1
1038;COM;84;1;12;0;BENY;Bény;Bény;118;;BÃ©ny;46.333333;5.283333;0
1039;COM;84;1;11;0;BEON;Béon;Béon;110;;BÃ©on;45.833333;5.75;0
1040;COM;84;1;12;0;BEREZIAT;Béréziat;Béréziat;102;;BÃ©reyziat;46.366667;5.05;0
1041;COM;84;1;11;0;BETTANT;Bettant;Bettant;101;;Bettant;45.933333;5.366667;0
1042;COM;84;1;12;0;BEY;Bey;Bey;123;;Bey;46.216667;4.85;0
1043;COM;84;1;12;0;BEYNOST;Beynost;Beynost;113;;Beynost;45.833333;5;-1
1044;COM;84;1;14;0;BILLIAT;Billiat;Billiat;103;;Billiat;46.066667;5.783333;-1
1045;COM;84;1;12;0;BIRIEUX;Birieux;Birieux;122;;Birieux;45.95;5.033333;0
1046;COM;84;1;12;0;BIZIAT;Biziat;Biziat;123;;Biziat;46.216667;4.933333;0
1047;COM;84;1;11;0;BLYES;Blyes;Blyes;111;;Blyes;45.85;5.25;0
1049;COM;84;1;12;3;BOISSE;Boisse;La Boisse;113;;La Boisse;45.85;5.033333;0
1050;COM;84;1;12;0;BOISSEY;Boissey;Boissey;117;;Boissey;46.383333;5;0
1051;COM;84;1;14;0;BOLOZON;Bolozon;Bolozon;116;;Bolozon;46.2;5.483333;0
1052;COM;84;1;12;0;BOULIGNEUX;Bouligneux;Bouligneux;122;;Bouligneux;46.016667;5;-1
1053;COM;84;1;12;0;BOURG EN BRESSE;Bourg-en-Bresse;Bourg-en-Bresse;199;;Bourg-en-Bresse;46.2;5.216667;0
1054;COM;84;1;11;0;BOURG SAINT CHRISTOPHE;Bourg-Saint-Christophe;Bourg-Saint-Christophe;112;;Bourg-Saint-Christophe;45.883333;5.166667;-1
